any,mes,periode,index_confianca,situacio_actual_financera,situacio_actual_economica,expectatives_financera,expectatives_economica
2015,11,2015-11,9.7,0.8,-0.5,21.6,28.2
2015,12,2015-12,12.9,3.6,2.6,25.0,32.7
2016,1,2016-01,8.5,3.1,2.1,19.9,21.2
2016,2,2016-02,8.0,3.6,-0.5,19.5,18.9
2016,3,2016-03,5.6,0.0,-7.5,18.3,16.0
2016,4,2016-04,5.5,1.6,-11.7,17.8,12.5
2016,5,2016-05,3.9,1.4,-14.8,15.8,12.0
2016,6,2016-06,5.4,3.7,-11.3,16.8,11.8
2016,7,2016-07,2.8,0.3,-16.8,16.5,8.4
2016,8,2016-08,5.4,1.8,-10.6,16.6,13.4
2016,9,2016-09,5.2,2.4,-12.8,16.2,12.4
2016,10,2016-10,7.2,2.8,-13.3,19.9,14.7
2016,11,2016-11,8.4,2.7,-8.3,20.3,19.9
2016,12,2016-12,8.5,3.4,-4.2,20.3,21.3
2017,1,2017-01,8.0,2.6,-2.1,18.3,19.1
2017,2,2017-02,6.1,0.6,-5.9,16.1,16.2
2017,3,2017-03,8.1,1.8,-4.4,17.9,19.5
2017,4,2017-04,9.4,4.5,-0.1,19.2,21.0
2017,5,2017-05,9.6,2.9,-0.3,17.9,23.3
2017,6,2017-06,9.8,5.1,0.4,18.4,21.1
2017,7,2017-07,10.5,5.7,1.8,19.5,20.7
2017,8,2017-08,11.1,5.4,5.2,19.3,23.1
2017,9,2017-09,10.9,7.1,2.9,19.5,22.2
2017,10,2017-10,10.3,7.2,3.9,20.0,18.4
2017,11,2017-11,9.5,7.0,0.7,20.6,15.1
2017,12,2017-12,9.9,5.0,-2.5,18.8,19.2
2018,1,2018-01,10.4,4.5,2.0,18.6,22.2
2018,2,2018-02,9.1,3.8,-1.8,17.3,20.3
2018,3,2018-03,5.7,1.1,-9.2,13.1,12.2
2018,4,2018-04,7.8,2.1,-4.0,17.5,16.2
2018,5,2018-05,8.1,2.5,-7.0,17.7,15.7
2018,6,2018-06,11.0,7.2,1.8,19.5,20.3
2018,7,2018-07,9.7,5.9,1.5,19.6,16.3
2018,8,2018-08,8.6,6.1,-1.5,17.9,14.0
2018,9,2018-09,5.4,4.3,-11.0,15.0,6.4
2018,10,2018-10,5.9,3.4,-11.1,17.0,7.9
2018,11,2018-11,7.4,4.1,-7.5,18.2,10.5
2018,12,2018-12,6.1,5.4,-13.9,17.5,4.7
2019,1,2019-01,6.8,5.7,-9.1,18.5,7.8
