municipi,any_dirce,total_empreses,empreses_g_i,any_pob,poblacio,gi_per_1000hab,index_capacitat
Navalmoral,2025,23,,2025,445,,
Navalonguilla,2025,8,,2025,182,,
Navalosa,2025,16,,2025,314,,
Navalperal de Pinares,2025,49,,2025,840,,
Navaluenga,2025,162,67.0,2025,2135,31.38173302107728,
Navarredonda de Gredos,2025,39,,2025,451,,
Navarredondilla,2025,13,,2025,146,,
Navarrevisca,2025,14,,2025,281,,
"Navas del Marqués, Las",2025,375,125.0,2025,5670,22.045855379188712,17.28865782820617
Navatalgordo,2025,9,,2025,230,,
Niharra,2025,6,,2025,167,,
"Oso, El",2025,6,,2025,125,,
Padiernos,2025,16,,2025,277,,
Pajares de Adaja,2025,5,,2025,123,,
Palacios de Goda,2025,22,,2025,396,,
Papatrigo,2025,9,,2025,215,,
Pedro Bernardo,2025,54,,2025,743,,
Pedro-Rodríguez,2025,5,,2025,131,,
Peguerinos,2025,17,,2025,283,,
Piedrahíta,2025,141,69.0,2025,1637,42.15027489309713,
Piedralaves,2025,189,80.0,2025,2183,36.646816307833255,
Poyales del Hoyo,2025,39,,2025,498,,
Pradosegar,2025,7,,2025,109,,
Rasueros,2025,4,,2025,150,,
Riocabado,2025,12,,2025,129,,
Riofrío,2025,8,,2025,188,,
Rivilla de Barajas,2025,5,,2025,59,,
Salobral,2025,7,,2025,109,,
Salvadiós,2025,4,,2025,67,,
San Bartolomé de Pinares,2025,25,,2025,479,,
Sanchidrián,2025,42,,2025,720,,
San Esteban del Valle,2025,45,,2025,735,,
San Juan de la Nava,2025,28,,2025,422,,
San Juan del Molinillo,2025,15,,2025,238,,
San Juan del Olmo,2025,7,,2025,73,,
San Lorenzo de Tormes,2025,4,,2025,32,,
San Martín de la Vega del Alberche,2025,7,,2025,163,,
San Martín del Pimpollar,2025,18,,2025,221,,
San Miguel de Serrezuela,2025,6,,2025,103,,
San Pedro del Arroyo,2025,34,,2025,516,,
Santa Cruz del Valle,2025,8,,2025,295,,
Santa Cruz de Pinares,2025,6,,2025,169,,
Santa María del Berrocal,2025,34,,2025,372,,
Santa María del Tiétar,2025,34,,2025,582,,
Santiago del Collado,2025,4,,2025,161,,
